LLM,Human,Category,Cohens_Kappa
qwen3-coder_30b_r2,A,BFC,0.7150997150997151
qwen3-coder_30b_r2,A,BPC,0.04040404040404044
qwen3-coder_30b_r2,A,PRC,0.3869543894065719
qwen3-coder_30b_r2,A,NFC,0.7129436325678498
qwen3-coder_30b_r2,B,BFC,0.5783132530120482
qwen3-coder_30b_r2,B,BPC,0.009111617312072995
qwen3-coder_30b_r2,B,PRC,0.2984409799554567
qwen3-coder_30b_r2,B,NFC,0.7093023255813953
qwen3-coder_30b_r2,C,BFC,0.527027027027027
qwen3-coder_30b_r2,C,BPC,0.07925407925407935
qwen3-coder_30b_r2,C,PRC,0.3372943327239488
qwen3-coder_30b_r2,C,NFC,0.8010610079575596
